year,tmx_7_8,dtr_7_8,precip_7_8
1917,28.744785,13.557084,74.70691
1918,29.45838,13.483583,83.08507
1919,29.775623,13.573839,79.02997
1920,28.325552,13.244302,84.37683
1921,30.043049,13.181971,90.76111
1922,29.050316,13.359793,80.25835
1923,28.913916,12.923282,87.89226
1924,27.994164,13.277747,90.464005
1925,29.471039,14.027004,71.69363
1926,29.23253,13.115089,96.33579
1927,27.267565,13.130123,88.40271
1928,28.753292,12.693491,105.806595
1929,29.73304,14.150539,69.96393
1930,31.329292,14.740265,48.393196
1931,29.996838,13.640097,85.64442
1932,30.022392,13.646442,90.25009
1933,29.961426,13.860985,73.04479
1934,31.259666,14.5235615,66.75458
1935,30.52895,13.029742,85.09868
1936,33.15368,15.083591,50.750465
1937,31.040966,13.684307,80.960205
1938,30.760593,13.796186,82.22106
1939,30.246372,14.103472,78.434555
1940,29.4865,13.294202,87.90413
1941,30.191185,13.713242,75.17842
1942,28.696468,12.803687,90.510925
1943,30.38444,13.649092,81.00929
1944,29.052212,13.423654,98.12164
1945,28.81194,13.485416,73.27617
1946,28.795464,13.544175,71.09359
1947,30.687271,13.788925,57.941704
1948,29.462996,13.31732,86.36156
1949,30.104435,13.427448,85.35812
1950,27.04052,13.013195,91.6824
1951,28.106064,12.624101,100.054726
1952,29.617722,13.853291,86.71734
1953,29.864403,13.826328,69.999756
1954,30.31197,13.695822,77.65459
1955,31.370186,13.663276,79.66447
1956,28.796883,13.241508,93.24234
1957,29.740528,13.150515,80.005775
1958,28.478556,12.999697,106.92039
1959,30.18565,13.746037,83.38321
1960,29.562794,13.73051,81.60693
1961,29.434113,13.721519,86.36908
1962,28.70615,13.455959,94.31264
1963,29.318464,13.435007,88.83472
1964,29.35825,13.850069,80.812874
1965,28.52402,13.386617,86.868645
1966,29.438683,13.537927,87.95122
1967,28.333248,14.403421,57.82872
1968,28.583817,13.046478,86.00179
1969,29.76258,13.520646,84.690125
1970,30.092594,14.17894,67.315186
1971,28.74316,14.287754,68.63303
1972,28.463942,13.083432,92.748695
1973,29.836893,13.5497055,78.13513
1974,29.603676,13.9697,80.00643
1975,29.879557,13.606663,74.43529
1976,30.178143,14.954809,52.294052
1977,28.973625,13.344705,101.19232
1978,29.217064,13.555826,96.08824
1979,28.172106,12.568676,102.914444
1980,30.88577,14.168409,89.38709
1981,28.874847,12.735848,102.74141
1982,28.987232,13.177883,91.06778
1983,32.112522,14.371482,58.110092
1984,30.069883,14.435181,57.12873
1985,28.486916,13.645277,85.151886
1986,28.844055,13.507934,87.734726
1987,29.507788,13.355652,101.17677
1988,31.503702,15.020718,72.595
1989,29.908123,13.768805,81.005264
1990,29.148811,13.51967,81.33239
1991,30.232388,14.158226,63.05137
1992,26.436111,12.754252,103.02872
1993,28.381021,12.197093,118.56424
1994,28.132061,13.152172,81.1726
1995,30.33207,13.041088,84.31824
1996,28.669006,13.18445,73.26821
1997,28.462898,13.074362,76.67941
1998,29.677591,13.178259,79.290054
1999,29.802486,13.549108,73.32251
2000,29.334843,13.334035,71.96828
2001,30.210812,13.629166,76.27619
2002,30.241491,13.485908,83.08914
2003,30.442324,13.974909,64.662186
2004,27.351856,13.048321,90.00745
2005,30.211037,13.809557,74.62079
2006,30.920094,14.035402,76.61534
2007,30.363548,13.75037,77.908
2008,29.465134,13.897102,72.10449
2009,27.496647,13.155727,87.996704
2010,30.62997,13.284938,93.06415
2011,31.08469,13.690166,68.655106
2012,31.95098,15.346866,56.179737
2013,29.356426,13.479828,64.20867
2014,28.374378,13.0552845,85.375435
2015,29.204784,13.473782,95.35989
2016,29.880585,13.019183,118.38422
