time,yield
1917,2.3177460676895425
1918,2.4017221471158745
1919,2.5328075301853232
1920,2.91222581520814
1921,2.8812939412261995
1922,2.658195736146355
1923,3.0010157765816095
1924,2.9968049690837244
1925,2.3245366563887875
1926,2.8147376741765697
1927,2.644581133041942
1928,2.756951656938024
1929,2.441379753766885
1930,1.851545286094518
1931,2.2958538371654513
1932,2.3225089374634638
1933,2.133652084086573
1934,1.6838517877001757
1935,2.390316450134888
1936,1.2953242359335555
1937,2.338826973465656
1938,2.4014791598106178
1939,2.4488555033455817
1940,2.391061525787621
1941,2.236028215679914
1942,2.633743983121074
1943,2.446727676391236
1944,2.5601819396943997
1945,2.311825003507319
1946,2.295372102521433
1947,1.9552118803990992
1948,2.528875995295817
1949,2.450110936074893
1950,2.9066526884816373
1951,2.536936412720401
1952,2.1998899793631153
1953,2.1809144101033553
1954,2.1335207521617394
1955,2.19226314067118
1956,2.868125153210789
1957,2.6646723055544226
1958,2.822791457024921
1959,2.34842077751162
1960,2.5706057391321306
1961,2.7539655938250553
1962,2.872957263166192
1963,2.8133589686654137
1964,2.3152931673734622
1965,2.712574517667226
1966,2.5938872790947047
1967,2.0725527553147054
1968,2.657615796515364
1969,2.524025503453835
1970,2.3883454868000515
1971,2.3272458256114947
1972,2.6234587271423324
1973,2.593743360614171
1974,2.228202889860113
1975,2.410537893691886
1976,1.8846976986356034
1977,2.6148878771647732
1978,2.7652428764339345
1979,2.9678213973507224
1980,2.25300896582684
1981,2.9322373493410696
1982,2.781533326638103
1983,1.8551242077693098
1984,2.229768148088613
1985,2.5224947759935428
1986,2.891770766651575
1987,2.6986246553224538
1988,1.7590272411725676
1989,2.580501372926194
1990,2.600911306514865
1991,2.174974347967952
1992,2.6310665197627494
1993,2.358739677165571
1994,2.8465030869890833
1995,2.6019356060246985
1996,2.7600633644792887
1997,2.6748890088704242
1998,2.651626546020816
1999,2.3938388549078695
2000,2.566432738883781
2001,2.6337797267075707
2002,2.285429023390273
2003,2.2640474343722654
2004,2.745916805220728
2005,2.309975160399117
2006,2.1137814353981703
2007,2.232611691826051
2008,2.7551805789998873
2009,2.626064678370561
2010,2.7178790828822486
2011,2.222997122268327
2012,1.2118098441855811
2013,2.01611864388256
2014,2.7396472272082915
2015,2.677987624852805
2016,2.7814214546686467
